FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,COUNTY_NAME,LAT,LONG,ELEVATION
1397640,Cape Hinchinbrook,Cape,Valdez-Cordova (CA),60.2347222,-146.6416667,7
1397658,Ester,Populated Place,Fairbanks North Star,64.8472222,-148.0144444,224
1397798,Magitchlie Creek,Stream,Yukon-Koyukuk (CA),63.5408333,-158.2083333,28
1397808,Middle Fork Chena River,Stream,Fairbanks North Star,64.9411111,-146.2513889,252
1397815,Alaska Range,Range,Yukon-Koyukuk (CA),62.5833333,-153.0833333,1555
1397822,Aleutian Islands,Island,Aleutians West (CA),52.0969444,-173.5005556,143
1397829,Lake Nunavaugaluk,Lake,Dillingham (CA),59.2444444,-158.9,10
1397835,Bering Sea,Sea,Aleutians West (CA),59.1402778,-163.6597222,0
1397853,East Fork Chandalar River,Stream,Yukon-Koyukuk (CA),67.1016667,-147.2386111,254
1397909,Adak Island,Island,Aleutians West (CA),51.7844444,-176.6402778,177
1397910,Adak Strait,Channel,Aleutians West (CA),51.7730556,-177.0263889,0
1397917,Admiralty Bay,Bay,North Slope,70.8933333,-155.6844444,0
1397926,Afognak,Populated Place,Kodiak Island,58.0221236,-152.7652264,28
1397928,Afognak Island,Island,Kodiak Island,58.2622222,-152.5883333,164
1397947,Aghiyuk Island,Island,Kodiak Island,56.18,-156.7877778,258
1397956,Agiapuk River,Stream,Nome (CA),65.1663889,-165.6838889,2
1397980,Ahklun Mountains,Range,Bethel (CA),59.3833333,-160.7,367
1397991,Aiaktalik Island,Island,Kodiak Island,56.7038889,-154.0552778,32
1397993,Aichilik River,Stream,North Slope,69.8416667,-142.0647222,0
1398007,Akhiok,Populated Place,Kodiak Island,56.9455556,-154.1702778,10
1398011,Akiachak,Populated Place,Bethel (CA),60.9094444,-161.4313889,4
1398012,Akiak,Populated Place,Bethel (CA),60.9122222,-161.2138889,4
1398018,Akoolokok Point,Cape,Nome (CA),63.4227778,-169.6536111,2
1398030,Akun Island,Island,Aleutians East,54.1883333,-165.5286111,156
1398032,Akutan Island,Island,Aleutians East,54.1280556,-165.9180556,258
1398038,Alagnak River,Stream,Lake and Peninsula,59.0047222,-156.8602778,0
1398042,Alakanuk,Populated Place,Wade Hampton (CA),62.6888889,-164.6152778,3
1398091,Aleknagik,Populated Place,Dillingham (CA),59.2730556,-158.6177778,11
1398092,Lake Aleknagik,Lake,Dillingham (CA),59.3394444,-158.8019444,11
1398097,Alexander,Locale,Matanuska-Susitna,61.4172222,-150.5969444,9
1398108,Alfred Creek,Stream,Yukon-Koyukuk (CA),66.0866667,-148.62,95
1398119,Alitak Bay,Bay,Kodiak Island,56.8852778,-154.1216667,0
1398122,Aliulik Peninsula,Cape,Kodiak Island,56.8330556,-153.9491667,129
1398129,Allakaket,Populated Place,Yukon-Koyukuk (CA),66.5655556,-152.6455556,122
1398161,Mount Alverstone,Summit,Yakutat,60.3502778,-139.0772222,4238
1398170,Amanka Lake,Lake,Dillingham (CA),59.1038889,-159.1988889,12
1398181,Amber Bay,Bay,Lake and Peninsula,56.8180556,-157.3852778,0
1398184,Amchitka Pass,Channel,Aleutians West (CA),51.7666667,179.9833333,
1398206,Amlia Island,Island,Aleutians West (CA),52.0786111,-173.5283333,229
1398235,Anaktuvuk Pass,Populated Place,North Slope,68.1433333,-151.7358333,663
1398236,Anaktuvuk River,Stream,North Slope,69.5561111,-151.4677778,39
1398242,Anchorage,Populated Place,Anchorage,61.2180556,-149.9002778,29
1398245,Anderson,Populated Place,Denali,64.3441667,-149.1869444,156
1398261,Saint Marys,Populated Place,Wade Hampton (CA),62.0530556,-163.1658333,27
1398264,Andreafsky River,Stream,Wade Hampton (CA),62.0291667,-163.2525,3
1398265,Andreanof Islands,Island,Aleutians West (CA),51.8727778,-176.1955556,64
1398285,Angyoyaravak Bay,Bay,Wade Hampton (CA),61.2680556,-165.7319444,0
1398286,Aniak,Populated Place,Bethel (CA),61.5783333,-159.5222222,15
1398288,Aniak River,Stream,Bethel (CA),61.5744444,-159.4875,16
1398290,Aniakchak Bay,Bay,Lake and Peninsula,56.7172222,-157.4672222,0
1398293,Aniakchak River,Stream,Lake and Peninsula,56.7636111,-157.4952778,13
1398296,Aniktun Island,Island,Wade Hampton (CA),61.7622222,-166.1341667,2
1398298,Anisak River,Stream,Northwest Arctic,68.04,-158.9563889,241
1398335,Anvik,Populated Place,Yukon-Koyukuk (CA),62.6561111,-160.2066667,16
1398336,Anvik River,Stream,Yukon-Koyukuk (CA),62.6805556,-160.2030556,16
1398349,Apavawook Cape,Cape,Nome (CA),63.1441667,-168.8711111,0
1398350,Aphrewn River,Stream,Wade Hampton (CA),61.0877778,-165.3047222,0
1398380,Arctic Lagoon,Bay,Nome (CA),66.095,-166.5975,0
1398381,Arctic River,Stream,Nome (CA),66.1044444,-165.6897222,1
1398382,Arctic Village,Populated Place,Yukon-Koyukuk (CA),68.1269444,-145.5377778,627
1398385,Arey Island,Island,North Slope,70.1138889,-143.9091667,1
1398390,Arhymot Lake,Lake,Bethel (CA),61.6263889,-160.3472222,16
1398401,Aropuk Lake,Lake,Bethel (CA),61.1619444,-163.7941667,1
1398432,Atahgo Point,Cape,Bethel (CA),59.9672222,-165.575,13
1398436,Atigaru Point,Cape,North Slope,70.5502778,-151.7008333,0
1398439,Atigun River,Stream,North Slope,68.5252778,-149.0033333,624
1398440,Atka Island,Island,Aleutians West (CA),52.1380556,-174.4452778,402
1398442,Atkulik Island,Island,Lake and Peninsula,56.2777778,-157.7297222,215
1398465,Mount Augusta,Summit,Yakutat,60.3030556,-140.4558333,3919
1398469,Auke Bay,Populated Place,Juneau,58.3833333,-134.6597222,8
1398485,Aurora Lodge,Populated Place,Fairbanks North Star,64.4705556,-146.9386111,221
1398495,Avak River,Stream,North Slope,70.2463889,-161.6369444,0
1398498,Avalik River,Stream,North Slope,70.1216667,-159.6733333,5
1398510,Awuna River,Stream,North Slope,69.0486111,-155.4633333,220
1398516,Ayiyak River,Stream,North Slope,68.8594444,-151.9738889,217
1398523,Azun River,Stream,Wade Hampton (CA),61.0463889,-165.1425,0
1398541,Bagley Ice Valley,Valley,Valdez-Cordova (CA),60.4836111,-141.5836111,1579
1398544,Baird Inlet,Bay,Bethel (CA),60.8088889,-164.0891667,0
1398561,Bald Head,Summit,Nome (CA),64.745,-161.5380556,125
1398601,Baranof Island,Island,Sitka,56.9513889,-134.9477778,923
1398617,Barnard Glacier,Glacier,Valdez-Cordova (CA),61.165,-141.5666667,1280
1398630,Barren Islands,Island,Kodiak Island,58.9325,-152.1813889,174
1398635,Barrow,Populated Place,North Slope,71.2905556,-156.7886111,3
1398641,Barter Island,Island,North Slope,70.1180556,-143.6666667,17
1398659,Mount Bastille,Summit,North Slope,68.4619444,-160.8827778,1306
1398665,Battle Lake,Lake,Lake and Peninsula,59.0591667,-154.9108333,254
1398731,Bear Creek,Stream,Denali,63.9802778,-150.83,152
1398732,Bear Creek,Stream,Yukon-Koyukuk (CA),64.8188889,-157.1094444,37
1398758,Mount Bear,Summit,Valdez-Cordova (CA),61.2838889,-141.1422222,4520
1398774,Beaufort Sea,Sea,North Slope,70.5261111,-141.4988889,0
1398776,Beaver,Populated Place,Yukon-Koyukuk (CA),66.3594444,-147.3963889,107
1398795,Beaver Creek,Stream,Yukon-Koyukuk (CA),66.2386111,-147.5327778,102
1398817,Becharof Lake,Lake,Lake and Peninsula,57.9522222,-156.3766667,4
1398819,Bechevin Bay,Bay,Aleutians East,54.9822222,-163.3711111,0
1398853,Beluga River,Stream,Kenai Peninsula,61.2047222,-150.94,0
1398867,Bendeleben Mountains,Range,Nome (CA),65.2083333,-163.5894444,873
1398887,Bering Glacier,Glacier,Valdez-Cordova (CA),60.3022222,-143.4197222,407
1398890,Bering Strait,Channel,Nome (CA),65.7258333,-168.4202778,0
1398903,Besboro Island,Island,Nome (CA),64.12,-161.3097222,248
1398908,Bethel,Populated Place,Bethel (CA),60.7922222,-161.7558333,1
1398910,Old Bettles (historical),Populated Place,Yukon-Koyukuk (CA),66.9069444,-151.6830556,199
1398915,Lake Beverley,Lake,Dillingham (CA),59.6488889,-158.6963889,20
1398948,Big Creek,Stream,Yukon-Koyukuk (CA),66.4272222,-143.8038889,159
1398949,Big Delta,Populated Place,Southeast Fairbanks (CA),64.1525,-145.8422222,303
1398952,Big Eightmile Island,Island,Yukon-Koyukuk (CA),64.1383333,-158.6694444,33
1398989,Big Lake,Locale,Yukon-Koyukuk (CA),67.5030556,-149.4463889,524
1399005,Big River,Stream,Yukon-Koyukuk (CA),62.9652778,-154.8780556,109
1399024,Bill Moores,Populated Place,Wade Hampton (CA),62.9497222,-163.7788889,1
1399056,Birch Creek,Stream,Denali,63.8666667,-151.5558333,197
1399058,Birch Creek,Stream,Yukon-Koyukuk (CA),66.2702778,-145.5041667,135
1399070,Birch Lake,Lake,Fairbanks North Star,64.315,-146.6616667,251
1399113,Black Cape,Cape,Kodiak Island,58.4086111,-152.8852778,0
1399141,Black Lake,Lake,Lake and Peninsula,56.4572222,-158.9858333,9
1399156,Black Rapids Glacier,Glacier,Southeast Fairbanks (CA),63.4613889,-146.1933333,1223
1399157,Black River,Stream,Wade Hampton (CA),62.3569444,-165.3438889,0
1399158,Black River,Stream,Matanuska-Susitna,62.5105556,-147.4716667,823
1399160,Black River,Stream,Yukon-Koyukuk (CA),66.6641667,-144.7277778,134
1399170,Blackburn Island,Island,Yukon-Koyukuk (CA),63.3886111,-159.4736111,30
1399171,Mount Blackburn,Summit,Valdez-Cordova (CA),61.7316667,-143.4330556,4839
1399291,Bonasila River,Stream,Yukon-Koyukuk (CA),62.5327778,-160.2094444,8
1399295,Boney Creek,Stream,Yukon-Koyukuk (CA),65.0980556,-152.4277778,60
1399367,Boulder Creek,Stream,Yukon-Koyukuk (CA),67.5844444,-142.6180556,299
1399377,Boundary,Locale,Southeast Fairbanks (CA),64.0777778,-141.1069444,892
1399432,Brant Island,Island,Yukon-Koyukuk (CA),65.1566667,-153.0508333,52
1399443,Bremner Glacier,Glacier,Valdez-Cordova (CA),60.8325,-143.3152778,1097
1399459,Broad Pass,Gap,Matanuska-Susitna,63.2316667,-149.2772222,646
1399480,Lake Brooks,Lake,Lake and Peninsula,58.5022222,-155.9186111,19
1399494,Brownlow Point,Cape,North Slope,70.1655556,-145.8747222,0
1399558,Bull Creek,Stream,Yukon-Koyukuk (CA),66.2375,-141.8283333,244
1399568,Bullfrog Island,Island,Yukon-Koyukuk (CA),63.7236111,-159.2555556,30
1399711,Calm Point,Cape,Dillingham (CA),58.5469444,-161.0719444,69
1399712,Camden Bay,Bay,North Slope,70.0675,-145.2816667,0
1399780,Canning River,Stream,North Slope,70.0783333,-145.5655556,0
1399788,Cantwell,Populated Place,Denali,63.3916667,-148.9508333,669
1399792,Canwell Glacier,Glacier,Southeast Fairbanks (CA),63.3347222,-145.5488889,1219
1399838,Cape Alitak,Cape,Kodiak Island,56.8475,-154.3011111,17
1399839,Cape Atushagvik,Cape,Kodiak Island,58.0822222,-154.3211111,0
1399843,Cape Barnabas,Cape,Kodiak Island,57.1519444,-152.8680556,0
1399844,Cape Beaufort,Cape,North Slope,69.0338889,-163.8352778,3
1399846,Cape Chichagof,Cape,Lake and Peninsula,58.3727778,-157.5375,7
1399847,Cape Chiniak,Cape,Kodiak Island,57.6205556,-152.1566667,0
1399849,Cape Constantine,Cape,Dillingham (CA),58.3930556,-158.8938889,5
1399854,Cape Darby,Cape,Nome (CA),64.3266667,-162.7852778,139
1399855,Cape Denbigh,Cape,Nome (CA),64.3811111,-161.5341667,0
1399856,Cape Douglas,Cape,Kodiak Island,58.8522222,-153.2822222,31
1399857,Cape Douglas,Cape,Nome (CA),64.9986111,-166.6986111,1
1399858,Cape Dyer,Cape,North Slope,68.6527778,-166.2266667,139
1399859,Cape Etolin,Cape,Bethel (CA),60.4261111,-166.1644444,10
1399860,Cape Grant,Cape,Kodiak Island,57.4227778,-154.7155556,150
1399861,Cape Greig,Cape,Lake and Peninsula,57.7288889,-157.6966667,50
1399864,Cape Halkett,Cape,North Slope,70.8027778,-152.1880556,0
1399870,Cape Ikolik,Cape,Kodiak Island,57.2877778,-154.7858333,154
1399877,Cape Kayakliut,Cape,Kodiak Island,57.2933333,-156.3186111,0
1399881,Cape Kilokak,Cape,Kodiak Island,57.1813889,-156.3380556,28
1399884,Cape Kubugakli,Cape,Kodiak Island,57.8986111,-155.0766667,15
